id,Ga_new_0,Ga_new_1,Ga_new_2,Ga_new_3,Ga_new_4,Ga_new_5,Al_new_0,Al_new_1,Al_new_2,Al_new_3,Al_new_4,Al_new_5,O_new_0,O_new_1,O_new_2,O_new_3,O_new_4,O_new_5,In_new_0,In_new_1,In_new_2,In_new_3,In_new_4,In_new_5
1,-0.6331287623214763,-0.5818774912004419,-0.30879603840286735,0.7327680063370257,0.9419248007243435,-0.15089051513658414,-0.09034829110392525,0.8659900998055736,1.0335934302646697,-0.37362698097663316,-0.9432451391607445,-0.49236311882894007,-0.6878065136803755,1.4018424304246355,1.847775858609035,-0.22006448223564645,-1.1599693449286599,-1.1817779481889887,0,0,0,0,0,0
2,-0.4104379012174133,0.5170151043568587,-0.46725363267814257,-0.49517436909096446,0.8776915338955563,-0.021840735265894168,1.0783833829346543,-0.20053498300897227,-0.3525943228085481,0.9694662170613173,-0.7257890601261067,-0.7689312340523451,-0.2749165787573013,1.4638113703813453,-1.33610373733911,-0.9367287635179121,1.6110203160964107,-0.5270826068634338,0,0,0,0,0,0
3,-0.3226130467974553,0.08612627267393466,0.7007901738878703,-0.004435284670674337,-0.378177127090415,-0.08169098800326029,-0.284709819056536,0.7815862372627055,0.9550798944252671,-0.18544203401783002,-0.6703700753687314,-0.5961442032448752,1.2344680858244919,-0.5164237372921965,-0.1410237506753552,1.262246167424387,-1.0934443351491372,-0.7458224301321914,0,0,0,0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,-0.21771402580472948,0.4186792036398395,-0.5922479632557655,-0.30684889576827934,0.8099619890604952,-0.11183030787156026,1.1157293832605886,-0.21699693715892737,-0.317547806818094,0.8640941242539522,-0.7981815764424941,-0.6470971870950251,-0.3429544031207828,-0.17901099310286128,-0.1306763477058499,0.24189310321881358,0.4736307508266325,-0.0628821101159526
5,-0.21851488669716115,0.8127635434891628,0.9330670865520628,-0.24469308393695705,-0.7145521998549017,-0.5680704595522056,0.0,0.0,0.0,0.0,0.0,0.0,-0.27491657875730074,1.4638113703813453,-1.33610373733911,-0.9367287635179119,1.611020316096411,-0.5270826068634342,-0.8434205371710882,-0.4681851696002218,-0.1417604218494395,0.7596882288276495,0.9851809590205278,-0.2915030592274278
6,-0.09660134925998042,0.4484678656064949,0.7193794461853356,-0.17581644134737523,-0.6227780969253556,-0.27265142425911976,-0.5706088264701014,-0.517091829512168,0.9396441260571019,-0.07964672001006043,-0.3690352995870006,0.5967385495222286,1.234468085824492,-0.5164237372921964,-0.1410237506753555,1.2622461674243874,-1.0934443351491372,-0.7458224301321918,0,0,0,0,0,0
7,-0.19952772399663035,0.2627863911178136,0.6496166088592707,-0.05987426960596688,-0.45008888486264026,-0.20291212151184665,0.0,0.0,0.0,0.0,0.0,0.0,1.5768897657519796,9.737148362905511e-17,-0.78844488287599,1.3656265961089067,-0.7884448828759901,-1.3656265961089062,1.2939370735038336,-0.3638097256520264,-0.2948156366186843,1.1844812115036358,-0.9991214368851496,-0.8206714858516092
8,0.0,0.0,0.0,0.0,0.0,0.0,-0.3321132140734998,-0.23743333973043368,0.5312564147562568,-0.04322498765882865,-0.1991432006827569,0.28065832738926233,-0.6460117503888423,-0.6043247255533238,0.8987619908415024,-0.20638743350191766,-0.2527502404526602,0.8107121590552415,0.5200179337571659,-0.25150836900993695,-0.0034849852044324444,0.5081420070438669,-0.5165329485527336,-0.25663363803392986
9,0.8110414409380018,-0.024289983602969134,-0.35950032072815086,0.33320125292668423,-0.4515411202098507,-0.3089112693237151,-0.07202483015906722,0.8281856886904463,1.1055442446679458,-0.37226384128199413,-1.0335194145088789,-0.45592184740845204,-5.842289017743309e-16,1.5768897657519794,-1.365626596108907,-0.7884448828759907,1.3656265961089071,-0.78844488287599,0.7520019463368592,-0.023117223858182538,-0.34567653563015327,0.4415137589944417,-0.4063254107067058,-0.41839653513625913
10,-0.6747523144015296,-0.6792466274310427,-0.42516629115492144,0.7904079568165429,1.0999186055564516,-0.11116132938550019,0.7454230715181519,-0.408125797604938,-0.7452739869038473,-0.4083707710728899,-0.00014908461430459117,0.8164965686778279,-0.2749165787573008,1.463811370381346,-1.3361037373391105,-0.936728763517912,1.6110203160964112,-0.527082606863434,0,0,0,0,0,0
